ts,client,query,type,response,rcode,latency_ms
2026-03-21T00:00:00.000Z,OPS-WS18,login.microsoftonline.com,A,140.82.112.5,NOERROR,29
2026-03-21T00:01:58.450Z,ENG-MBP-14,login.microsoftonline.com,A,140.82.112.5,NOERROR,46
2026-03-21T00:03:04.315Z,OPS-WS22,login.microsoftonline.com,A,140.82.112.5,NOERROR,26
2026-03-21T00:03:52.310Z,OPS-WS22,updates.microsoft.com,A,52.92.128.17,NOERROR,30
2026-03-21T00:05:55.878Z,DS-JUP-05,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,50
2026-03-21T00:07:37.556Z,OPS-WS18,updates.microsoft.com,A,74.112.186.55,NOERROR,7
2026-03-21T00:10:25.744Z,OPS-WS22,box.com,A,140.82.112.5,NOERROR,36
2026-03-21T00:11:48.882Z,BUILD-RUN-03,updates.microsoft.com,A,52.92.128.17,NOERROR,56
2026-03-21T00:13:17.411Z,ENG-MBP-14,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,42
2026-03-21T00:15:58.606Z,BUILD-RUN-03,box.com,A,13.107.42.14,NOERROR,10
2026-03-21T00:17:29.346Z,OPS-WS18,box.com,A,52.92.128.17,NOERROR,53
2026-03-21T00:19:53.915Z,ENG-MBP-12,api.github.com,A,52.92.128.17,NOERROR,58
2026-03-21T00:22:33.396Z,OPS-WS22,cdn.slack.com,A,52.92.128.17,NOERROR,29
2026-03-21T00:24:40.733Z,DS-JUP-05,box.com,A,74.112.186.55,NOERROR,65
2026-03-21T00:25:36.828Z,OPS-WS18,login.microsoftonline.com,A,13.107.42.14,NOERROR,31
2026-03-21T00:27:54.803Z,DS-JUP-05,registry.npmjs.org,A,13.107.42.14,NOERROR,24
2026-03-21T00:29:40.378Z,BUILD-RUN-03,box.com,A,140.82.112.5,NOERROR,3
2026-03-21T00:31:43.357Z,ENG-MBP-14,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,57
2026-03-21T00:34:31.268Z,OPS-WS18,updates.microsoft.com,A,140.82.112.5,NOERROR,31
2026-03-21T00:37:01.495Z,DS-JUP-05,login.microsoftonline.com,A,52.92.128.17,NOERROR,35
2026-03-21T00:39:31.447Z,ENG-MBP-12,login.microsoftonline.com,A,140.82.112.5,NOERROR,17
2026-03-21T00:40:57.743Z,BUILD-RUN-03,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,63
2026-03-21T00:42:12.626Z,BUILD-RUN-03,api.github.com,A,13.107.42.14,NOERROR,18
2026-03-21T00:44:47.223Z,DS-JUP-05,cdn.slack.com,A,140.82.112.5,NOERROR,45
2026-03-21T00:46:28.881Z,BUILD-RUN-03,login.microsoftonline.com,A,52.92.128.17,NOERROR,38
2026-03-21T00:48:25.034Z,DS-JUP-05,box.com,A,74.112.186.55,NOERROR,20
2026-03-21T00:50:04.944Z,OPS-WS22,updates.microsoft.com,A,13.107.42.14,NOERROR,21
2026-03-21T00:50:45.880Z,BUILD-RUN-03,cdn.slack.com,A,52.92.128.17,NOERROR,33
2026-03-21T00:53:16.616Z,DS-JUP-05,login.microsoftonline.com,A,52.92.128.17,NOERROR,32
2026-03-21T00:54:50.192Z,OPS-WS18,registry.npmjs.org,A,52.92.128.17,NOERROR,22
2026-03-21T00:57:14.362Z,OPS-WS22,registry.npmjs.org,A,13.107.42.14,NOERROR,38
2026-03-21T00:58:06.155Z,ENG-MBP-12,api.github.com,A,74.112.186.55,NOERROR,28
2026-03-21T00:59:19.852Z,OPS-WS22,box.com,A,74.112.186.55,NOERROR,6
2026-03-21T01:01:47.585Z,ENG-MBP-14,box.com,A,13.107.42.14,NOERROR,20
2026-03-21T01:03:58.361Z,OPS-WS22,cdn.slack.com,A,13.107.42.14,NOERROR,18
2026-03-21T01:04:58.727Z,BUILD-RUN-03,updates.microsoft.com,A,140.82.112.5,NOERROR,11
2026-03-21T01:06:10.272Z,ENG-MBP-14,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,17
2026-03-21T01:07:20.133Z,OPS-WS18,box.com,A,140.82.112.5,NOERROR,13
2026-03-21T01:08:07.851Z,ENG-MBP-12,registry.npmjs.org,A,140.82.112.5,NOERROR,51
2026-03-21T01:09:29.120Z,ENG-MBP-12,registry.npmjs.org,A,52.92.128.17,NOERROR,67
2026-03-21T01:10:26.669Z,ENG-MBP-14,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,60
2026-03-21T01:13:00.251Z,OPS-WS18,registry.npmjs.org,A,52.92.128.17,NOERROR,43
2026-03-21T01:14:05.016Z,ENG-MBP-12,cdn.slack.com,A,140.82.112.5,NOERROR,5
2026-03-21T01:15:45.026Z,ENG-MBP-14,box.com,A,52.92.128.17,NOERROR,56
2026-03-21T01:17:51.975Z,ENG-MBP-12,api.github.com,A,140.82.112.5,NOERROR,11
2026-03-21T01:19:27.024Z,BUILD-RUN-03,cdn.slack.com,A,140.82.112.5,NOERROR,64
2026-03-21T01:21:21.044Z,ENG-MBP-14,cdn.slack.com,A,13.107.42.14,NOERROR,34
2026-03-21T01:23:43.189Z,OPS-WS18,api.github.com,A,13.107.42.14,NOERROR,57
2026-03-21T01:24:58.972Z,ENG-MBP-12,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,53
2026-03-21T01:25:40.313Z,BUILD-RUN-03,login.microsoftonline.com,A,140.82.112.5,NOERROR,5
2026-03-21T01:26:19.129Z,DS-JUP-05,cdn.slack.com,A,140.82.112.5,NOERROR,58
2026-03-21T01:28:37.174Z,BUILD-RUN-03,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,38
2026-03-21T01:29:48.196Z,BUILD-RUN-03,updates.microsoft.com,A,140.82.112.5,NOERROR,2
2026-03-21T01:30:58.762Z,OPS-WS18,registry.npmjs.org,A,52.92.128.17,NOERROR,4
2026-03-21T01:31:49.398Z,OPS-WS18,box.com,A,52.92.128.17,NOERROR,64
2026-03-21T01:34:23.589Z,OPS-WS18,updates.microsoft.com,A,52.92.128.17,NOERROR,52
2026-03-21T01:36:32.793Z,ENG-MBP-12,api.github.com,A,74.112.186.55,NOERROR,2
2026-03-21T01:39:14.895Z,DS-JUP-05,registry.npmjs.org,A,13.107.42.14,NOERROR,35
2026-03-21T01:41:43.649Z,OPS-WS18,login.microsoftonline.com,A,13.107.42.14,NOERROR,25
2026-03-21T01:42:40.607Z,DS-JUP-05,updates.microsoft.com,A,52.92.128.17,NOERROR,3
2026-03-21T01:45:16.352Z,ENG-MBP-12,registry.npmjs.org,A,13.107.42.14,NOERROR,2
2026-03-21T01:46:46.761Z,OPS-WS22,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,4
2026-03-21T01:48:59.036Z,DS-JUP-05,cdn.slack.com,A,74.112.186.55,NOERROR,41
2026-03-21T01:50:28.858Z,OPS-WS22,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,30
2026-03-21T01:52:00.986Z,DS-JUP-05,box.com,A,140.82.112.5,NOERROR,24
2026-03-21T01:53:51.834Z,OPS-WS18,login.microsoftonline.com,A,74.112.186.55,NOERROR,56
2026-03-21T01:54:41.094Z,ENG-MBP-14,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,27
2026-03-21T01:56:21.001Z,ENG-MBP-14,updates.microsoft.com,A,74.112.186.55,NOERROR,42
2026-03-21T01:59:14.149Z,ENG-MBP-12,updates.microsoft.com,A,74.112.186.55,NOERROR,8
2026-03-21T02:01:15.110Z,DS-JUP-05,box.com,A,74.112.186.55,NOERROR,16
2026-03-21T02:03:17.748Z,OPS-WS22,registry.npmjs.org,A,140.82.112.5,NOERROR,22
2026-03-21T02:04:42.591Z,ENG-MBP-14,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,40
2026-03-21T02:05:53.994Z,BUILD-RUN-03,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,10
2026-03-21T02:06:49.619Z,DS-JUP-05,cdn.slack.com,A,52.92.128.17,NOERROR,14
2026-03-21T02:07:57.192Z,OPS-WS18,registry.npmjs.org,A,52.92.128.17,NOERROR,35
2026-03-21T02:10:23.031Z,OPS-WS18,registry.npmjs.org,A,52.92.128.17,NOERROR,65
2026-03-21T02:11:44.247Z,OPS-WS22,updates.microsoft.com,A,52.92.128.17,NOERROR,59
2026-03-21T02:13:33.786Z,OPS-WS18,login.microsoftonline.com,A,52.92.128.17,NOERROR,41
2026-03-21T02:15:43.782Z,OPS-WS22,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,62
2026-03-21T02:16:51.719Z,OPS-WS22,registry.npmjs.org,A,140.82.112.5,NOERROR,55
2026-03-21T02:18:40.902Z,OPS-WS18,box.com,A,52.92.128.17,NOERROR,18
2026-03-21T02:20:36.374Z,OPS-WS22,login.microsoftonline.com,A,52.92.128.17,NOERROR,27
2026-03-21T02:21:27.333Z,OPS-WS18,registry.npmjs.org,A,140.82.112.5,NOERROR,69
2026-03-21T02:22:10.692Z,BUILD-RUN-03,cdn.slack.com,A,140.82.112.5,NOERROR,27
2026-03-21T02:24:04.221Z,BUILD-RUN-03,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,22
2026-03-21T02:25:45.923Z,BUILD-RUN-03,cdn.slack.com,A,52.92.128.17,NOERROR,62
2026-03-21T02:26:22.456Z,ENG-MBP-14,api.github.com,A,52.92.128.17,NOERROR,32
2026-03-21T02:29:11.364Z,ENG-MBP-12,login.microsoftonline.com,A,140.82.112.5,NOERROR,55
2026-03-21T02:30:20.817Z,DS-JUP-05,updates.microsoft.com,A,13.107.42.14,NOERROR,64
2026-03-21T02:33:07.922Z,ENG-MBP-14,api.github.com,A,52.92.128.17,NOERROR,55
2026-03-21T02:35:35.836Z,ENG-MBP-14,cdn.slack.com,A,52.92.128.17,NOERROR,27
2026-03-21T02:38:19.181Z,ENG-MBP-14,registry.npmjs.org,A,13.107.42.14,NOERROR,64
2026-03-21T02:39:51.849Z,ENG-MBP-14,box.com,A,13.107.42.14,NOERROR,46
2026-03-21T02:41:19.153Z,ENG-MBP-12,updates.microsoft.com,A,74.112.186.55,NOERROR,47
2026-03-21T02:44:00.581Z,BUILD-RUN-03,login.microsoftonline.com,A,74.112.186.55,NOERROR,57
2026-03-21T02:45:26.258Z,OPS-WS22,updates.microsoft.com,A,13.107.42.14,NOERROR,26
2026-03-21T02:47:34.559Z,OPS-WS22,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,4
2026-03-21T02:48:54.902Z,OPS-WS22,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,66
2026-03-21T02:51:38.034Z,DS-JUP-05,box.com,A,140.82.112.5,NOERROR,69
2026-03-21T02:52:48.351Z,BUILD-RUN-03,login.microsoftonline.com,A,52.92.128.17,NOERROR,26
2026-03-21T02:53:35.710Z,OPS-WS22,box.com,A,140.82.112.5,NOERROR,49
2026-03-21T02:55:51.009Z,OPS-WS18,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,28
2026-03-21T02:57:08.700Z,OPS-WS22,api.github.com,A,140.82.112.5,NOERROR,35
2026-03-21T02:58:18.718Z,ENG-MBP-14,api.github.com,A,74.112.186.55,NOERROR,58
2026-03-21T02:59:06.658Z,DS-JUP-05,registry.npmjs.org,A,52.92.128.17,NOERROR,57
2026-03-21T03:00:48.948Z,DS-JUP-05,registry.npmjs.org,A,52.92.128.17,NOERROR,61
2026-03-21T03:03:15.161Z,DS-JUP-05,registry.npmjs.org,A,140.82.112.5,NOERROR,2
2026-03-21T03:04:27.715Z,DS-JUP-05,box.com,A,13.107.42.14,NOERROR,40
2026-03-21T03:07:21.087Z,DS-JUP-05,api.github.com,A,52.92.128.17,NOERROR,64
2026-03-21T03:09:18.385Z,DS-JUP-05,updates.microsoft.com,A,13.107.42.14,NOERROR,43
2026-03-21T03:10:21.135Z,ENG-MBP-12,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,45
2026-03-21T03:13:13.190Z,ENG-MBP-12,box.com,A,140.82.112.5,NOERROR,68
2026-03-21T03:16:07.675Z,ENG-MBP-14,updates.microsoft.com,A,74.112.186.55,NOERROR,40
2026-03-21T03:18:17.938Z,DS-JUP-05,registry.npmjs.org,A,13.107.42.14,NOERROR,39
2026-03-21T03:20:12.061Z,BUILD-RUN-03,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,49
2026-03-21T03:21:03.021Z,ENG-MBP-12,login.microsoftonline.com,A,140.82.112.5,NOERROR,54
2026-03-21T03:23:21.194Z,ENG-MBP-12,registry.npmjs.org,A,52.92.128.17,NOERROR,55
2026-03-21T03:25:41.063Z,DS-JUP-05,api.github.com,A,13.107.42.14,NOERROR,16
2026-03-21T03:28:03.850Z,OPS-WS18,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,52
2026-03-21T03:30:07.353Z,ENG-MBP-12,box.com,A,74.112.186.55,NOERROR,45
2026-03-21T03:31:46.827Z,OPS-WS18,api.github.com,A,74.112.186.55,NOERROR,5
2026-03-21T03:33:40.299Z,OPS-WS18,box.com,A,140.82.112.5,NOERROR,31
2026-03-21T03:36:27.705Z,ENG-MBP-14,cdn.slack.com,A,13.107.42.14,NOERROR,9
2026-03-21T03:37:14.389Z,OPS-WS22,registry.npmjs.org,A,52.92.128.17,NOERROR,58
2026-03-21T03:39:03.705Z,BUILD-RUN-03,api.github.com,A,52.92.128.17,NOERROR,30
2026-03-21T03:41:29.301Z,ENG-MBP-12,cdn.slack.com,A,13.107.42.14,NOERROR,52
2026-03-21T03:43:00.126Z,ENG-MBP-14,box.com,A,13.107.42.14,NOERROR,9
2026-03-21T03:45:19.784Z,OPS-WS18,login.microsoftonline.com,A,74.112.186.55,NOERROR,67
2026-03-21T03:48:04.926Z,OPS-WS22,api.github.com,A,74.112.186.55,NOERROR,68
2026-03-21T03:48:48.376Z,OPS-WS22,cdn.slack.com,A,52.92.128.17,NOERROR,6
2026-03-21T03:51:28.520Z,ENG-MBP-14,registry.npmjs.org,A,13.107.42.14,NOERROR,62
2026-03-21T03:52:56.001Z,DS-JUP-05,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,59
2026-03-21T03:55:22.597Z,ENG-MBP-12,api.github.com,A,74.112.186.55,NOERROR,36
2026-03-21T03:56:45.480Z,DS-JUP-05,login.microsoftonline.com,A,140.82.112.5,NOERROR,49
2026-03-21T03:58:24.039Z,OPS-WS18,box.com,A,13.107.42.14,NOERROR,20
2026-03-21T04:00:24.181Z,BUILD-RUN-03,box.com,A,74.112.186.55,NOERROR,62
2026-03-21T04:01:37.627Z,OPS-WS18,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,52
2026-03-21T04:03:10.861Z,ENG-MBP-14,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,50
2026-03-21T04:03:54.532Z,OPS-WS18,login.microsoftonline.com,A,52.92.128.17,NOERROR,45
2026-03-21T04:05:27.369Z,OPS-WS22,box.com,A,74.112.186.55,NOERROR,25
2026-03-21T04:06:25.317Z,ENG-MBP-12,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,38
2026-03-21T04:07:49.822Z,DS-JUP-05,login.microsoftonline.com,A,52.92.128.17,NOERROR,6
2026-03-21T04:10:31.770Z,ENG-MBP-14,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,3
2026-03-21T04:11:20.166Z,BUILD-RUN-03,api.github.com,A,13.107.42.14,NOERROR,42
2026-03-21T04:12:18.999Z,ENG-MBP-14,registry.npmjs.org,A,52.92.128.17,NOERROR,53
2026-03-21T04:13:24.290Z,DS-JUP-05,registry.npmjs.org,A,13.107.42.14,NOERROR,71
2026-03-21T04:14:08.319Z,ENG-MBP-14,updates.microsoft.com,A,52.92.128.17,NOERROR,25
2026-03-21T04:16:26.149Z,OPS-WS22,login.microsoftonline.com,A,140.82.112.5,NOERROR,13
