UtcTime,Computer,User,EventID,Image,CommandLine,ParentImage,DestinationIp,DestinationPort,Hashes
2026-03-21 00:00:00.000,FIN-WS22,svc-export,1,slack.exe,"slack.exe",systemd,,,SHA256=001fdf1b984c1b73001fdf1b984c1b73001fdf1b984c1b73001fdf1b984c1b73
2026-03-21 00:07:18.492,LINUX-JUMP-01,svc-build,1,sshd,"sshd",explorer.exe,,,SHA256=0008289499fba6960008289499fba6960008289499fba6960008289499fba696
2026-03-21 00:13:38.148,FIN-WS22,alex.chen,1,outlook.exe,"outlook.exe",explorer.exe,,,SHA256=000d040186ecab81000d040186ecab81000d040186ecab81000d040186ecab81
2026-03-21 00:20:50.960,FIN-WS22,taylor.owens,1,sshd,"sshd",systemd,,,SHA256=000f17e06c30f68f000f17e06c30f68f000f17e06c30f68f000f17e06c30f68f
2026-03-21 00:30:54.657,ENG-MAC-04,jamie.patel,1,chrome.exe,"chrome.exe",systemd,,,SHA256=00032b75291fe27a00032b75291fe27a00032b75291fe27a00032b75291fe27a
2026-03-21 00:40:09.816,ENG-MAC-17,svc-build,1,slack.exe,"slack.exe",systemd,,,SHA256=00130dc108c351fc00130dc108c351fc00130dc108c351fc00130dc108c351fc
2026-03-21 00:50:43.216,LINUX-JUMP-01,taylor.owens,1,node,"node",cmd.exe,,,SHA256=00002609d4ed1fa200002609d4ed1fa200002609d4ed1fa200002609d4ed1fa2
2026-03-21 00:57:02.077,FIN-WS17,riley.kapoor,1,node,"node",explorer.exe,,,SHA256=000d921d03c9a6db000d921d03c9a6db000d921d03c9a6db000d921d03c9a6db
2026-03-21 01:02:04.510,FIN-WS17,taylor.owens,1,outlook.exe,"outlook.exe",systemd,,,SHA256=0002f8b90e5e5b600002f8b90e5e5b600002f8b90e5e5b600002f8b90e5e5b60
2026-03-21 01:05:57.853,FIN-WS17,jamie.patel,1,git,"git",explorer.exe,,,SHA256=0010a8a76e33548b0010a8a76e33548b0010a8a76e33548b0010a8a76e33548b
